average_stars,compliment_cool,compliment_cute,compliment_funny,compliment_hot,compliment_list,compliment_more,compliment_note,compliment_photos,compliment_plain,compliment_profile,compliment_writer,cool,elite,fans,funny,name,useful,user_id,yelping_since
3.68,37,0,37,26,1,7,24,2,33,4,25,423,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",41,405,Adrienne,1111,7x8B5lgzSZxmqMiQJzhx1A,2009-02-22 02:56:22
3.6,607,35,607,463,24,81,191,169,500,62,283,2659,"2011,2012,2013,2014,2015,2016,2017,2018",125,2300,Jennifer,3895,f4_MRNHvN-yRn7EA8YWRxg,2011-01-17 00:18:23
3.27,256,6,256,92,5,18,112,48,1036,11,70,581,"2011,2012,2013,2014,2015",74,398,Mark,1325,3S53VaMDPy8Lywk2TuPb4A,2010-09-17 18:20:26
3.77,136,18,136,77,3,7,46,32,91,8,78,1683,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",114,1332,Lisa,2575,zlqbbhAujrMla0eDiK7mIw,2008-07-31 02:22:31
3.85,17,0,17,12,0,5,31,1,51,0,9,716,"2017,2018",39,387,Jim,1754,bN9UQdyftA92BZAy_r3yAw,2013-01-19 19:46:52
4.28,122,15,122,135,5,6,56,26,204,6,27,594,"2007,2008,2009,2010,2011",42,320,Sheri,835,qlJVwqTNPKDv91NOfi0k9A,2007-04-05 18:35:23
3.87,12,0,12,7,0,0,10,5,13,1,7,270,"2013,2014,2015,2016,2017,2018",21,200,Greg,638,7kPR3NAhl72EGbUU1h9FOw,2011-09-18 18:15:36
3.86,6,0,6,2,0,4,4,0,2,0,2,74,,7,82,Hit,241,Tp9EvdZZzFFwfH1m2SVJ9A,2010-01-07 08:02:48
3.61,72,2,72,42,0,9,27,27,75,4,51,1361,"2010,2011,2012,2013,2014,2015,2016,2017,2018",107,761,Alma,2312,WvntDWMQnaEV8agu3gcTug,2007-12-03 17:48:57
3.53,2,0,2,3,0,3,6,0,8,1,7,181,"2014,2015,2017,2018",10,157,Laurie,659,_5keMAmic7zzrnM5mVefBw,2009-04-11 00:01:25
3.46,15,0,15,4,0,0,8,4,17,1,7,255,"2012,2013,2014,2015,2016,2017,2018",14,270,Joyce,739,RvR05MnF76MnIjo32zFiFQ,2008-05-16 00:17:19
4.24,32,0,32,13,0,5,15,1,25,3,14,416,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",48,233,Albie,920,1zyE713RTVjBoO55_XjZiA,2006-12-26 21:31:37
3.54,268,17,268,354,9,20,127,16,281,9,141,1288,"2009,2010,2011,2012,2013,2014,2015",72,1696,Linzi,1828,zsgH8afv2CDkn93jHtfBUQ,2009-01-23 16:38:34
3.66,5,0,5,4,0,0,5,1,11,1,12,213,"2013,2014,2015,2016,2017,2018",25,248,Corey,730,SRSmzTPA2dX2Zpfa2uE4sA,2009-06-29 03:25:20
4.06,491,9,491,197,12,26,217,72,482,14,219,1838,"2012,2013,2014,2015,2016,2017,2018",97,1173,Tuong Vi,2615,OVF9mZMBUEFPY2I-lLzkgA,2010-04-08 01:54:09
3.64,4,0,4,2,0,2,5,3,7,0,7,136,"2015,2016,2017,2018",14,94,Athenapex,444,4IFV7-ijckMWktp3jGVFyA,2011-06-17 19:06:40
3.72,491,71,491,409,13,19,157,70,275,25,116,2853,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",188,2319,Julie,3668,UH6RCH9K1o2VW3CU8PY5iQ,2008-03-28 17:58:35
3.97,69,2,69,33,5,4,42,8,83,1,54,1050,"2011,2012,2013",31,591,Shannon,3290,FdPrn04vvhtJPum9nPCUeQ,2011-04-03 17:30:55
4.1,789,7,789,224,5,32,256,391,664,17,188,13656,"2014,2015,2016,2017,2018",769,9993,Nate,16426,i_DR3vdE73nVm2GlMbGpGA,2011-11-12 16:09:30
4.02,0,0,0,3,0,0,5,3,0,0,2,76,"2016,2017",9,23,Xoxe,161,zGBkCg9Bl9TFT-dprKx26g,2013-10-11 07:38:47
3.7,75,2,75,47,0,5,43,6,59,6,25,741,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",54,1073,Peter,1602,zjcN27kCVeK8K2ONe9Qt4g,2007-10-12 21:53:30
4.09,16,0,16,14,0,3,7,0,19,3,3,183,"2013,2014,2015,2016,2017",31,131,Alice,526,hDSskc2p0Vh-xX41FWAvKQ,2012-11-05 19:43:10
3.75,77,4,77,73,1,11,33,49,92,5,86,787,"2010,2011,2012,2013,2014,2015,2016,2017,2018",61,774,Kimmy,1702,fCiXeYNwrwpM2MGilA1ViQ,2007-01-31 18:05:56
3.64,21,1,21,12,0,5,10,14,20,4,12,590,"2013,2014,2015,2016,2017,2018",70,489,Garen,1266,-RApyq06DMBii7ovXtQnfw,2010-07-13 01:21:32
3.36,43,3,43,36,0,6,38,7,19,1,12,295,"2012,2013,2014,2015,2016,2017,2018",40,181,Alicia,781,co64BGDz5U4i-VOwhJgn5Q,2008-12-04 02:24:50
4.38,612,15,612,254,4,40,207,14,412,14,98,2278,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",69,1399,Rachel,2912,PcPminF0bIUsKjUh9e4DMQ,2007-09-08 19:55:39
4.01,2231,126,2231,1846,65,82,738,844,2424,200,717,7134,"2010,2011,2012,2013,2014,2015,2016,2017,2018",196,5978,Andrea,8156,JP75FtAg9zCXug359pXs4A,2009-01-12 21:59:32
4.1,1014,22,1014,889,4,19,217,622,733,9,236,3869,"2012,2013,2014,2015,2016",219,2083,Malia,4322,HuWEj615KvxRmjJq8JY7Ng,2009-10-21 08:50:10
3.29,5,0,5,4,0,3,9,2,10,0,3,203,"2016,2017,2018",13,255,Shin,799,H02XKvKhgroCtPd5O5U3bw,2013-03-02 19:18:39
3.53,17,0,17,13,0,3,5,3,21,0,10,311,"2014,2015,2016,2017,2018",23,219,Angela,747,W7tKBCQ1XugMEDjB8ZBXqg,2009-09-05 14:58:43
3.85,65,5,65,40,2,12,35,7,50,3,44,853,"2012,2013,2014,2015,2016,2017,2018",85,778,Lisette,1670,i6w1V5iPWdYKVPnZLOeLkA,2009-11-23 20:40:42
4.31,20,0,20,5,0,2,11,11,17,1,8,700,"2013,2014,2015,2016,2017,2018",43,252,Alyse,1139,siVtjO8xrSxbrK-zqXCGew,2011-12-03 20:00:05
3.53,379,84,379,181,6,23,186,43,215,22,82,1165,"2007,2008,2009,2010",43,914,flo,2054,PMT94wJvyAQdG9YGZerYAw,2007-08-14 17:00:10
4.22,80,2,80,47,4,5,21,1,39,0,28,538,"2012,2013,2014,2015,2016,2017,2018",39,343,Emily,1379,a5XvEtYqTIHpRarDlJ1v8w,2010-06-12 19:00:12
3.32,8,0,8,2,0,2,12,10,12,1,10,191,"2013,2014,2015,2016,2017,2018",21,120,Greg,1139,REFGsoLynoBWxdTEJeXYfw,2009-05-23 03:26:20
3.51,22,0,22,3,0,2,12,5,30,0,15,445,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",33,292,Kevin,1312,OUdq9CA-IvdMYncI9d5akw,2008-11-22 14:43:19
3.34,95,1,95,46,2,7,50,36,77,10,33,1019,"2012,2013,2014,2015,2016,2017,2018",76,985,Philip,2114,wczP8ehoY_SWCRRLFuSNrg,2011-05-13 21:15:17
3.53,22,0,22,4,0,0,16,6,7,0,3,157,"2016,2017,2018",10,83,David,428,QDzMM2YcB0LDLJVHDqrz3g,2015-11-29 03:10:16
3.89,173,2,173,62,0,4,56,40,383,2,20,937,"2014,2015,2016,2017,2018",20,266,Tina,1411,huHPQSQgw4kFakc0Vq7TDA,2013-10-22 01:50:43
3.5,29,2,29,20,1,4,9,3,36,3,16,451,"2009,2010,2012,2013,2014,2015,2016,2017,2018",54,241,Diane,882,CESIxRplQxxE0ruEXrrVSg,2008-01-16 08:28:38
3.84,485,34,485,603,26,83,129,101,265,60,290,2317,"2011,2012,2013,2014,2015,2016,2017,2018",110,1834,Cecilia,3142,h8pthOnqCxV94D8-JkZXCQ,2010-08-17 03:31:03
3.65,420,5,420,180,4,40,158,39,520,25,136,4987,"2012,2013,2014,2015,2016,2017,2018",57,4829,Ron,5942,y_sVbJ1gUa7En0a91Hhf-A,2010-03-21 22:39:15
3.64,72,0,72,38,0,8,41,21,139,1,45,765,"2010,2011,2012",41,614,Chris,2116,yR731OlfuI4585U4_HhHlg,2007-03-26 07:01:04
4.07,594,23,594,380,18,44,192,101,596,38,171,3442,"2011,2012,2013,2014,2015,2016,2017",135,2130,Marc,4140,AjBWVjeMOmvfd-iZCgAtJw,2010-10-09 18:22:08
3.64,5,0,5,2,0,4,6,0,12,0,2,156,"2011,2012,2013,2014,2015,2016,2017,2018",20,125,Jacky K,438,Z-bTLSYSJL1qIPEusyHQUQ,2008-06-11 18:54:19
3.87,731,16,731,439,3,65,221,132,626,73,247,8630,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",195,8555,Al,9425,cHpXABKFJ9oWZwE4IK-Z8Q,2007-05-04 02:43:33
3.71,164,6,164,103,42,44,51,6,84,14,85,1643,"2007,2008,2009,2010,2011,2012",89,1283,Scott,2241,YXMiSBrLNcnbxnfMK4BVug,2006-08-09 02:30:21
3.68,20,0,20,9,1,3,22,3,31,0,11,524,"2011,2012,2013,2014,2015,2016,2017",35,1046,Frank,1042,3Qbp8jmLlzi268iOHyUFZg,2011-02-06 22:54:50
3.24,50,0,50,10,0,5,24,3,78,6,19,345,"2008,2009,2010,2011,2012,2013,2014,2015,2016",44,480,Franklin,1042,W7ze3kEq4Br2JIOPP8okNA,2007-04-07 12:21:58
4.1,276,6,276,110,11,14,61,12,111,8,103,1264,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",45,665,Peter,2209,vRuHPM06W9iQJXK8XHbC3Q,2007-06-15 05:52:04
3.26,6,0,6,1,0,4,15,3,31,3,12,267,"2012,2013,2014",21,226,Ami,823,Yf0JwS-Zr2DQlk73TDzVLA,2012-07-04 16:40:46
3.4,136,1,136,75,7,12,49,2,195,2,104,456,"2011,2012,2013,2014,2015,2016,2017",16,387,Catriona,1059,X2uF3C3YBD24xcgKA104Sw,2008-07-23 21:45:54
3.28,26,6,26,15,1,4,38,13,38,3,20,456,"2010,2011,2012,2013,2014,2015,2016,2017",39,690,Anhers,1198,Oz6DTbeD6m3z5LmnDdZdXw,2008-11-10 17:48:27
3.23,19,2,19,6,0,4,11,1,10,0,12,236,,8,162,San,549,A9AM8NH3ToduRvYDvDSADA,2008-10-01 17:51:28
3.51,48,2,48,22,1,5,23,2,17,4,8,338,"2010,2011,2012,2013,2014,2015,2016,2017,2018",25,268,Debbie,810,0GHsxjCk-Ynzx4Ihj8tjPQ,2007-09-14 17:07:18
3.61,10,0,10,3,0,1,12,7,31,0,2,389,"2015,2016,2017,2018",30,380,James,903,RR7b3vK6zOfnXRo-pd3pUw,2014-09-21 00:56:17
3.92,42,1,42,25,1,7,20,8,41,5,12,710,"2007,2008,2009,2010,2016,2017,2018",70,324,Ami,1153,hyL8xZ-94jXcaqQt5hS14Q,2006-05-04 02:34:58
4.35,54,1,54,34,2,9,24,8,49,7,35,477,"2011,2012,2013,2014,2015,2016,2017,2018",45,313,Polly,942,FmLwFMr885MIFgcHk631Cg,2010-04-29 01:42:31
3.84,7,0,7,2,0,1,8,2,11,0,10,201,"2013,2014,2015,2016,2017,2018",30,106,Lisa,636,ZNQgqENlQhmoyqAdrsv1OA,2012-12-11 20:14:45
3.68,113,8,113,82,0,13,57,120,58,4,46,3136,"2014,2015,2016,2017",337,2944,Gigi,4442,ut5tH2ITDRUH5NQ9I9gdQg,2012-05-17 18:42:56
3.56,3,0,3,2,0,3,5,0,6,2,2,161,,16,123,Aman,421,LVT0AbAlo-kF0uDKEOjxcQ,2011-07-03 06:56:13
3.64,41,6,41,41,4,5,39,25,33,5,33,492,"2012,2013,2014,2015,2016,2017,2018",83,441,Sui,1301,-dw8f7FLaUmWR7bfJ_Yf0w,2009-09-07 17:06:20
4.07,36,2,36,16,2,10,9,21,34,5,15,683,"2010,2011,2012,2013,2014,2015,2016,2017,2018",33,429,Jean,1148,rVxwIq-GU98GC2xMulsSqw,2009-01-13 05:12:30
3.73,109,6,109,32,3,23,21,40,60,8,110,1700,"2013,2014,2015,2016,2017,2018",148,1006,Brittany,3037,PB3OEIzQGx_p6VdpzX3Feg,2010-12-15 05:50:29
3.73,230,5,230,120,4,15,99,4,165,10,55,1355,"2009,2010,2011,2012,2013,2014,2015,2016",64,932,Evan,2046,qtTd_VDFXoeNkJKrtQ4R2g,2009-03-23 11:48:48
4.19,1333,19,1333,470,3,22,135,103,1651,31,123,7196,"2015,2016,2017,2018",129,4999,Jeannette,8200,V0c-AS2FFCeSaV-3JfG5vA,2009-12-03 23:16:01
3.57,375,4,375,151,1,12,174,19,457,6,140,3541,"2015,2016,2017,2018",133,3602,Taric,4934,YpGt3hdq5adPlEFn9fQ2Zw,2010-07-12 09:47:05
4.06,25,0,25,16,2,2,25,5,33,0,20,362,"2014,2015,2016,2017,2018",30,208,Adam B.,1028,6u82x6PkhQD2zm6Qa3mxCw,2014-04-26 22:07:19
3.37,43,0,43,14,0,7,18,0,26,3,16,348,"2008,2009,2010,2011,2012,2013,2014",20,414,Ryan,1000,VfAfrBGohcjD_CRCwuKz6Q,2008-02-06 16:09:57
3.86,213,5,213,72,1,3,92,58,202,5,117,1176,"2012,2013,2014,2015,2016,2017,2018",63,656,Nicki,2233,5Mk754BCQFmpKwlfqSmqzQ,2011-03-18 14:22:51
3.94,829,41,829,423,36,40,765,66,2456,34,191,2022,"2010,2011,2012",264,1537,Christina,3455,TJMgOTcm2ShyOpablSYbXA,2010-01-29 16:40:12
3.11,23,0,23,11,0,3,48,28,18,1,2,127,,25,195,Eric,316,xuFdjMHgu1qd-itoNqaRKA,2012-09-23 19:45:14
4.0,20,2,20,6,0,5,14,5,20,1,23,1103,"2017,2018",72,611,Keizzel,1507,v9BuMJg_LxUPFbLnmY8dBA,2013-03-02 19:33:40
3.86,57,2,57,37,0,7,30,1,65,1,46,614,"2012,2013,2014,2015,2016,2017",62,281,Erica,1468,IKbjLnfBQtEyVzEu8CuOLg,2010-01-02 04:59:57
3.34,46,3,46,33,17,14,30,6,73,4,43,485,,46,336,Amy,1219,HNqeYFG_-g9SWt8wfd66Kw,2009-06-07 05:49:29
3.18,43,6,43,29,1,4,13,5,32,0,17,383,"2009,2010,2011",39,269,Nhung,1010,uU7GIgzs4-5Dtp9Vuymb3A,2008-11-26 22:58:54
3.66,103,6,103,83,1,2,28,141,75,6,32,2043,"2015,2016,2017,2018",156,1009,Ivy,2985,-TWmOCrqnTwfO5k04S3QrA,2010-12-10 19:35:55
3.92,41,4,41,27,4,5,29,8,30,2,21,435,"2011,2012",42,331,Kayla,1120,bJcH5UNzLCXk-pxHnwAi9g,2011-03-17 18:18:51
3.79,39,3,39,12,0,7,25,5,30,0,14,315,"2011,2012,2017,2018",41,255,Cynthia,1156,-s48ZKSA31DFNcgJLChhQQ,2008-11-08 15:54:54
3.73,70,12,70,39,11,7,19,4,80,8,68,714,"2011,2012,2013,2014,2015,2016,2017,2018",51,515,Cindy,1594,XYWjjklyITIAEBgnZtU-Mw,2010-12-20 00:11:30
3.67,49,3,49,34,7,13,68,3,80,1,28,488,"2009,2010,2011",29,316,Judy,1023,TgCW5tyinPDvZWE5Sqwwgw,2007-06-17 04:58:11
3.32,89,7,89,32,2,10,56,2,82,4,17,589,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",52,505,Jen,887,_f9NyNygDasxm4x_8K0FMg,2007-02-28 05:56:30
4.44,29,0,29,12,0,2,10,11,14,1,24,1588,"2016,2017,2018",22,863,John,1854,VA1vV3EaD1ohS7gGOLc5WA,2012-09-20 02:16:38
3.93,801,60,801,536,56,98,492,176,1134,65,164,3639,"2010,2011,2012,2013,2014,2015,2016,2017,2018",93,2572,Melody,4245,67WTpDa0RjRqiqxEegMS7g,2009-06-24 17:11:25
3.72,23,1,23,19,0,6,17,2,33,2,18,279,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",37,173,Michael,679,r1sLj85JPwZ_KM2eviuLVg,2008-12-02 03:08:37
3.55,29,6,29,23,10,5,11,2,16,1,15,267,"2009,2010",48,145,Laur,611,voCInOw9T3xt5rLqrAMnPA,2008-11-30 05:50:46
3.85,1140,165,1140,710,35,108,1093,152,2528,71,267,6600,"2008,2009,2010,2011",436,4070,Maria,8727,eW-IQGFyOcqg-aKuhxKf3g,2008-06-18 15:48:00
3.8,62,1,62,38,1,7,37,1,45,9,62,588,"2010,2011,2012,2013,2014,2015,2016,2017,2018",43,529,Kenny,1381,wnFWoQ63F9-ohUQ-C0AeIw,2009-03-06 21:08:06
3.41,32,3,32,28,1,6,14,5,10,4,4,228,"2006,2007,2008,2009,2010",24,397,Marcus,398,S3gNrUh7N9oWoackKlHGMQ,2006-05-23 21:52:12
3.6,24,3,24,18,1,4,24,8,25,5,14,906,"2012,2013,2014,2015,2016,2017,2018",51,700,Lauren,2131,AY57V_l0QCQ5gir-N4ubwg,2009-04-23 04:28:12
3.8,53,1,53,23,0,6,30,17,63,0,19,755,"2012,2015,2016,2017,2018",35,713,Sandra,1582,WD0pchQWVY5tBbPqRq4zjQ,2007-05-30 10:51:24
3.76,21,0,21,11,0,3,16,4,28,2,18,320,"2012,2013,2014,2015,2016",29,207,Amy,613,9EMgczqumS10LYSbsaiKdQ,2010-05-05 04:18:21
3.39,13,1,13,7,0,6,22,3,18,0,5,219,"2009,2010,2011,2012,2013",21,292,Andre,435,FMr5EmLJKQvjpVH47HCi8g,2008-08-12 04:54:39
3.42,1408,12,1408,927,12,59,434,571,625,42,551,8143,"2012,2013,2014,2015,2016,2017,2018",164,6387,ED,9430,VB2FbK8dq9Poz-ZPGXgmeg,2008-12-28 22:10:36
3.9,40,0,40,27,0,10,19,42,46,1,39,1144,"2013,2014,2015,2016,2017,2018",114,530,John,2567,DIckqqZNAQwL5ySdqWIJyw,2012-03-26 03:20:34
3.79,428,53,428,350,4,21,160,38,206,16,113,2399,"2008,2009,2010,2011,2012,2013,2014",148,2804,Ani,3497,WbqMdZRi5FeBJHKvwtNhwg,2007-10-30 00:37:47
3.48,170,8,170,100,0,12,57,12,241,11,41,885,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",48,652,Wesley,1428,gReqm4q-A-vfsAgicBsbtA,2008-05-09 16:33:42
3.28,92,16,92,97,1,22,107,40,78,10,67,922,"2008,2009,2010,2011,2012,2013,2014",137,876,jennifer,2018,nJbdqWu2t1WtpsRK8MuB_A,2006-04-17 18:06:57
3.8,167,22,167,144,2,30,39,139,72,16,117,3470,"2011,2012,2013",112,2608,Lucy,4760,-pzlhxN6-DtuvpX4blnTxw,2011-01-05 08:34:23
3.65,78,3,78,59,0,3,18,22,16,0,7,504,"2015,2016,2017,2018",31,465,Bonnie,801,Goeb2D2E99xss3tMrX--FQ,2009-03-31 00:03:36
4.14,1933,11,1933,761,9,73,511,470,1319,29,403,8614,"2014,2016,2017,2018",249,7339,John,9797,5T_2RWFzvf-nMZYD0RsvWg,2013-07-05 07:56:53
3.73,51,0,51,29,5,2,30,4,49,3,24,581,"2012,2013,2014,2015,2016,2017,2018",49,283,Angie,1315,N7NnC6-q0O-Gq2n_7YJkNg,2011-10-13 19:46:21
3.5,54,5,54,29,3,8,26,6,41,4,23,528,"2009,2011,2012,2013,2014,2015,2016,2017,2018",65,455,Angela,1114,BoRDC7m0JP1pm1OapkDG7A,2009-01-13 02:04:54
3.82,13,0,13,7,0,2,10,2,20,1,10,473,"2012,2013,2014,2015,2016,2017,2018",35,128,Allyson,885,_dy1UXsoPG5Zq4Fhwm4GBg,2011-11-14 00:48:48
4.21,15,0,15,8,0,0,15,2,20,0,7,338,"2011,2012,2013,2014,2015,2016,2017,2018",65,205,Victor,957,fitXjNnwVB_HzqaBSrIGXQ,2007-12-08 06:09:49
4.02,27,2,27,18,3,10,12,1,23,3,12,334,"2009,2010,2011,2012,2013,2014,2015,2016,2017",30,380,Reid,819,PS80V0SCQiTtyt_hVuIsyA,2008-02-03 04:20:13
3.7,18,1,18,5,0,1,8,0,4,1,1,212,"2012,2013,2014,2015,2016,2017,2018",24,142,Claire,456,kv9Vg5FbJiFgcNQ_FOJ2Ng,2008-10-29 23:09:41
3.79,155,1,155,64,3,13,59,28,165,8,85,1009,"2011,2012,2013,2014,2015,2016,2017,2018",63,452,Miriam,2274,YrlNGnrofZHseVYxrLrvJA,2011-03-12 18:23:36
3.56,26,2,26,10,0,7,24,11,25,0,25,761,"2012,2013,2014,2015,2016,2017,2018",84,565,Trung,1700,GhnqHTT1vKkLc0Z1rGsQ1A,2010-10-08 00:51:02
3.34,13,0,13,3,0,2,18,0,28,1,11,217,"2017,2018",26,227,Una,596,1Z2CVv2zDnb7Dg_j_S7rOg,2012-10-14 23:10:21
3.74,386,9,386,226,1,37,99,81,268,51,131,2209,"2013,2014,2015,2016,2017,2018",137,1905,Catalina,2955,Ry4Qxi__pgkvL2Dqdlolww,2008-01-08 02:25:57
3.76,1864,380,1864,1666,97,159,1111,258,2560,196,336,5109,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",148,5456,Jay,5567,PRIiGqJFSx1G8rXPr8sryg,2007-02-13 04:32:05
3.37,84,3,84,73,0,13,39,8,58,3,31,825,"2011,2012,2013,2014,2015,2016,2017,2018",32,822,Justin,1478,J7ka23aCUNK-v_yLB4AL1Q,2009-02-18 02:22:48
3.95,406,55,406,402,36,37,129,170,261,45,150,1594,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",154,1029,Jewel,2243,cctZ5e0OLd1g0jNdRk5Buw,2008-11-10 18:00:55
3.95,50,2,50,27,0,7,29,17,37,0,33,1662,"2014,2015,2016,2017,2018",46,498,Kimberly,1664,5JVY32_bmTBfIGpCCsnAfw,2013-03-22 16:30:47
3.39,134,10,134,104,1,17,41,18,133,14,81,1284,"2012,2013,2014,2015,2016,2017,2018",70,722,Steph,2289,xrnWY-KHx8O4Gh01JIQ7PA,2010-07-11 15:13:20
3.49,154,2,154,73,1,32,53,9,141,13,49,1368,"2011,2012,2013,2014,2015,2016,2017,2018",35,1031,Vince,1871,d6fQOiuzx4gymcCr3mHarQ,2010-09-20 18:15:13
4.03,49,6,49,30,1,10,27,13,45,2,27,773,"2010,2011,2012,2013",53,861,Athena,1651,CRLA264qZO-IxB2gQOnJmg,2009-04-03 05:20:44
3.54,53,0,53,88,0,13,34,58,58,0,23,747,"2017,2018",51,540,Rizma,1608,Sh_vUlHHY2Kuj14eF8NYZQ,2012-08-09 16:01:22
3.8,44,0,44,39,0,3,21,6,25,2,38,797,"2012,2013,2014,2015,2016,2017,2018",30,222,Elizabeth,1170,cCke3VtFLtqgzkgYSrSE2g,2012-10-07 07:45:45
3.22,9,0,9,6,0,2,11,1,7,1,6,225,"2010,2012,2013,2014,2015,2016",17,315,Tobin,855,UkAiuv_3y3ciM3V_BFlIZA,2009-04-14 22:54:37
4.1,183,0,183,79,0,14,122,100,272,4,52,1627,"2013,2014,2015,2016,2017,2018",99,649,Dee,3351,dqucQwA-CHWhUczwqIxKKg,2010-06-25 07:42:32
3.64,310,16,310,211,19,21,86,74,243,31,93,2209,"2011,2012,2013,2014,2015,2016,2017",108,1620,Rasien,3117,lZ0BZ7NWLBK5XgCQUA1ICA,2010-05-11 20:34:44
3.92,43,9,43,55,5,5,27,8,71,6,24,512,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",42,570,Rita,1143,_WDhO6yeZQoVo5agXH3Tbw,2008-03-24 18:31:38
3.37,14,0,14,1,0,6,21,1,14,1,16,278,"2015,2016,2017,2018",22,285,Rolena,798,q8H1N3zrUyO336izK_WDPQ,2008-06-08 19:42:16
4.1,1798,369,1798,2624,35,112,820,92,985,74,367,7222,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",322,7836,Euge,7778,8hvXl0oJmU61l17LG9aDag,2005-07-28 17:33:06
3.42,71,8,71,36,0,14,32,2,52,6,39,611,"2011,2012,2013,2014,2015,2016,2017,2018",58,650,Sophia,1368,bV7-Wtuu_TsE2Z9nEZNXpg,2010-11-05 01:12:05
3.96,139,4,139,51,4,14,40,30,84,3,28,1578,"2012,2013,2014,2015,2016,2017,2018",84,1147,Christine,2464,8po6JTB5Q7VVZrm4YYzLCQ,2010-09-11 09:45:12
3.58,88,0,88,19,0,6,46,31,73,1,43,2062,"2012,2013,2017,2018",83,838,Kevin,3021,TbXMSZIGqpvbXL7BFRHMUA,2011-02-03 20:53:56
4.21,51,6,51,14,0,4,21,6,34,5,15,679,"2012,2013,2014,2015,2016,2017,2018",40,627,Anthony,1223,sFZjAfSAJ2hZ1CHLsJscxA,2008-11-23 21:16:34
3.49,7,0,7,3,1,3,2,3,3,0,8,261,"2012,2013,2014,2015,2016,2017,2018",24,249,Dennis,549,ooBKO0v4P-hLDn1Yg607Xg,2010-07-15 02:46:01
3.25,21,0,21,14,1,5,17,5,62,1,9,351,"2010,2011,2012,2013,2014,2015,2016,2017,2018",38,381,Amy,1180,cafRiSVWRXlxDEK2YNrJ6g,2008-08-23 00:26:57
4.02,101,0,101,31,0,4,36,89,42,2,40,836,"2014,2015,2016,2017,2018",70,516,Rick,1753,zU9_B8fdyFIRJvXfoFaUgw,2013-02-16 00:09:59
4.01,3238,14,3238,1839,13,103,503,1295,2235,30,606,6529,"2010,2011,2012,2013,2014,2015,2016,2017,2018",103,4247,Michael,7328,HaoPeg2ySVEbQKN3gySxHQ,2010-05-17 01:29:09
3.68,24,1,24,12,0,6,33,10,22,5,14,1031,"2015,2016,2017,2018",63,1168,Tim,1758,mgVXcePWy6zBIXqqDrhzxw,2011-12-09 08:22:01
4.06,3,0,3,4,0,3,11,5,8,0,1,212,"2014,2015,2016,2017,2018",10,110,Kevin,589,z3n4lF8oWYahp-3Hx56d7A,2011-04-29 20:27:45
3.64,18,0,18,6,0,6,13,2,42,3,9,247,"2010,2011,2012,2013,2014,2015,2016,2017",37,188,Celeste,737,X1Jfcylqrh-B-IaphsP7IA,2009-09-28 20:00:40
4.2,30,2,30,15,0,5,10,1,34,4,14,418,"2009,2015,2016,2017,2018",34,262,Tasha,851,irFk4niiXe5iR-C7mgjy_w,2008-01-25 15:52:58
3.82,163,11,163,120,28,16,96,11,202,7,106,1521,"2007,2010,2011,2012",86,1056,Blair,2367,kmE8w5Y785eZmodsx0V6Ag,2007-05-08 22:36:09
3.84,2314,68,2314,1126,28,142,623,736,2164,152,514,14476,,255,10404,S. Alicia,15295,FZNRzY6m67fhlnNE8XglTQ,2007-06-16 06:33:53
3.81,38,0,38,34,0,3,30,4,22,2,44,543,"2011,2012,2013,2014,2015,2016,2017,2018",39,341,michelle,1401,vffKQc_WQMYFGY4JS5VAOw,2005-04-26 22:37:47
3.89,31,4,31,19,0,4,19,2,30,4,29,506,"2012,2014,2015,2016,2017,2018",87,432,Ben,1332,MpRMV1IlT8jzfLdI0fGr1w,2011-02-12 06:30:08
3.56,127,1,127,96,0,9,74,46,102,5,88,3221,"2014,2015,2016,2017,2018",94,2605,Zaneta,4443,upqjX_WdWgIBKqcGe5jXjA,2012-02-20 19:55:35
3.76,1330,54,1330,942,25,275,577,104,1212,183,507,2590,"2014,2015,2016,2017,2018",91,2089,Libby,3356,XMsh0_d5nYjdPcNv-6Qu-Q,2012-08-16 01:45:31
3.73,245,2,245,98,17,12,112,4,136,2,72,1726,"2009,2010,2011,2012,2013,2014,2015",54,754,Angela,2407,ZtorCVk8Y_2Il5wNYv6Dng,2007-11-01 15:59:56
